txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN3001,02-01-24,Amazon,1245.90,INR,SUCCESS,Shopping,ACC101,Verified
TXN3002,05-01-24,Swiggy,"$2,340.50 ",INR,success,Food,ACC102,
TXN3003,06-01-24,Ola,875.25,inr,FAILED,Transport,ACC103,Refund expected
TXN3004,09-01-24,IRCTC,5320.00,INR,SUCCESS,Travel,ACC101,
TXN3005,12-01-24,Flipkart,9644.18,INR,PENDING,Shopping,ACC104,SUSPICIOUS
TXN3006,15-01-24,Jio Recharge,1599.00,INR,SUCCESS,Utilities,ACC102,Verified
TXN3007,18-01-24,BookMyShow,788.40,INR,FAILED,Entertainment,ACC105,
TXN3008,21-01-24,Zomato,2140.75,USD,SUCCESS,Food,ACC103,Refund expected
TXN3009,24-01-24,MakeMyTrip,11860.32,USD,SUCCESS,Travel,ACC104,
TXN3010,27-01-24,HDFC ATM,14000.00,INR,SUCCESS,Cash Withdrawal,ACC101,
TXN3011,30-01-24,Amazon,319.99,INR,failed,,ACC102,
TXN3012,02-02-24,Swiggy,4860.10,INR,SUCCESS,Food,ACC105,Duplicate?
TXN3013,05-02-24,Flipkart,4860.10,INR,SUCCESS,Shopping,ACC105,Duplicate?
TXN3014,08-02-24,Ola,2150.60,inr,success,Transport,ACC103,
TXN3015,11-02-24,IRCTC,7420.55,INR,FAILED,Travel,ACC104,Verified
TXN3016,14-02-24,Jio Recharge,1998.00,INR,PENDING,Utilities,ACC101,
TXN3017,17-02-24,Amazon,10560.75,INR,SUCCESS,Shopping,ACC102,SUSPICIOUS
TXN3018,20-02-24,Swiggy,760.00,INR,SUCCESS,Food,ACC103,
TXN3019,23-02-24,BookMyShow,2430.25,INR,SUCCESS,Entertainment,ACC104,Verified
TXN3020,26-02-24,Ola,12980.41,inr,PENDING,Transport,ACC105,SUSPICIOUS
TXN3021,29-02-24,MakeMyTrip,166.96,USD,success,Travel,ACC101,
TXN3022,03-03-24,Flipkart,713.58,INR,success,Shopping,ACC102,
TXN3023,06-03-24,IRCTC,193647.29,INR,SUCCESS,,ACC103,
TXN3024,09-03-24,Jio Recharge,8500.14,INR,FAILED,Utilities,ACC104,Refund expected
TXN3025,12-03-24,Zomato,7605.06,USD,failed,Food,ACC105,SUSPICIOUS
TXN3026,15-03-24,HDFC ATM,4980.56,INR,failed,,ACC101,Duplicate?
TXN3027,18-03-24,Amazon,13097.16,INR,success,Shopping,ACC102,
TXN3028,21-03-24,Swiggy,13395.26,INR,success,Food,ACC103,Verified
TXN3029,24-03-24,IRCTC,3784.61,INR,failed,Travel,ACC104,
TXN3030,27-03-24,Ola,10424.55,inr,failed,Transport,ACC105,Refund expected
